Region;Nazwa;UE_do_2004;UE_od_2004;R_2004;R_2005;R_2006;R_2007;R_2008;R_2009;R_2010;R_2011;R_2012;R_2013;R_2014;R_2015;R_2016;R_2017;R_2018;R_2019;R_2020;R_2021;;;;
DE27;Schwaben;1;0;25000;25600;26900;27800;28700;27400;29200;31200;31900;32200;33400;34000;35000;36000;36900;37200;36200;38000;;;;
DE30;Berlin;1;0;24400;25100;26100;27300;28700;28200;29600;30900;30700;30900;32100;33000;34700;36300;38100;39000;38400;40200;;;;
DE40;Brandenburg;1;0;17600;18000;18900;19900;20700;20100;21300;22100;22500;23000;24200;24400;25000;26100;26700;27400;27000;28000;;;;
DE50;Bremen;1;0;34700;35500;37200;38800;39500;35500;38000;39500;40900;40900;42100;42300;42900;43900;44500;44000;43200;45600;;;;
DE60;Hamburg;1;0;47500;48600;49100;50800;52500;49900;51700;52200;52700;54100;54900;56300;56700;59100;59800;61200;58100;61900;;;;
DE71;Darmstadt;1;0;38000;38400;39600;41200;41800;39500;41100;42900;42400;42800;44300;44400;45600;46800;47500;47900;46500;48900;;;;
DE72;Gießen;1;0;23300;23800;24500;26000;27000;24700;26000;27400;27300;27500;28800;28900;29800;31000;31900;32400;32000;33600;;;;
DE73;Kassel;1;0;24100;24300;25400;26700;27100;26000;27400;28800;29000;29700;30700;31300;32500;33100;33600;34300;33100;35000;;;;
DE80;Mecklenburg-Vorpommern;1;0;16600;16900;17600;18700;19400;19200;20100;21200;21300;21900;23000;23100;23500;25300;25400;26800;26400;27700;;;;
DE91;Braunschweig;1;0;26800;28100;29300;31500;32500;29900;33400;36500;36600;36900;38800;36700;42800;42800;45100;46400;43600;45500;;;;
DE92;Hannover;1;0;24700;25900;27400;28100;29200;27800;29300;31100;31400;31100;32300;32400;33800;34500;35500;36200;35600;37000;;;;
DE93;Lüneburg;1;0;17600;17800;18500;19600;20100;19200;20200;21600;22200;22700;23700;23900;24200;25000;25800;26500;26300;27400;;;;
DE94;Weser-Ems;1;0;21900;22100;23400;24700;25600;24400;26200;27800;28300;28500;29600;29900;30900;32100;32500;33300;33000;34400;;;;
DEA1;Düsseldorf;1;0;28700;29100;29900;32100;33700;31800;32600;34000;33700;34000;35200;35500;35900;37300;38600;38400;37600;39400;;;;
DEA2;Köln;1;0;28900;29000;30300;32000;32200;31200;32200;33400;33600;34300;35500;36600;37100;38500;39800;39400;38200;40100;;;;
DEA3;Münster;1;0;22000;22500;23500;24900;25900;24300;25800;27000;27200;27000;27800;28200;29000;30200;30900;31500;31300;32800;;;;
DEA4;Detmold;1;0;24000;24700;25600;27500;28000;26500;27700;29500;30000;30700;32200;32300;33200;34100;35200;35800;35500;37300;;;;
DEA5;Arnsberg;1;0;22400;23100;24000;25400;26400;24900;26400;27900;28000;28300;29500;29700;30200;31300;32400;32600;31700;33300;;;;
DEB1;Koblenz;1;0;21500;21800;22700;23700;24200;23100;24500;25800;26200;26700;27900;28400;28900;30200;30900;31400;31100;33100;;;;
DEB2;Trier;1;0;20400;20500;21000;22000;22600;21600;22900;24300;24600;25200;25900;26300;27000;27500;28200;28400;28000;29800;;;;
DEB3;Rheinhessen-Pfalz;1;0;24500;24600;25700;27100;27600;26600;28800;30100;30900;31100;32000;33000;33600;34000;34500;34500;33600;39700;;;;
DEC0;Saarland;1;0;24300;25700;27000;28600;29200;26200;28100;30000;30100;29800;31300;31700;31700;32700;33300;32800;31700;32900;;;;
DED2;Dresden;1;0;19500;19600;20400;21600;21900;21100;22200;23200;23500;24100;25300;26300;26900;27900;28900;29600;29300;30900;;;;
DED4;Chemnitz;1;0;17100;17400;18500;19700;20100;19100;20500;21800;22000;22200;23400;23900;24700;25700;26300;26800;26200;27800;;;;
DED5;Leipzig;1;0;19400;19500;20900;22000;22700;22100;23400;25000;25600;26300;27500;27700;28400;29500;30100;31100;30700;32000;;;;
DEE0;Sachsen-Anhalt;1;0;17200;17400;18400;19600;20200;19300;20800;21500;22400;22800;23400;23700;24300;25200;25800;26600;26400;28000;;;;
DEF0;Schleswig-Holstein;1;0;22300;22500;23200;23900;24700;23700;24500;25600;26300;26500;27400;27500;28100;29600;30300;31100;30900;32400;;;;
DEG0;Thüringen;1;0;17100;17300;18300;19400;19800;18900;20400;21900;22100;23000;24300;24500;25200;26200;26700;27100;26800;28100;;;;
EE00;Eesti;0;1;11800;13600;15300;17500;17700;15400;16300;18300;19200;19800;20700;21000;21700;23300;24700;25800;25800;28800;;;;
IE04;Northern and Western;1;0;21600;22100;24300;24600;22700;20300;21900;24200;24200;21600;22500;24100;22900;25000;25100;25200;23700;27100;;;;
IE05;Southern;1;0;30700;31300;33500;35700;32400;29700;30700;32800;33400;32800;33900;63800;58100;63700;71200;74500;77000;84500;;;;
IE06;Eastern and Midland;1;0;36200;38600;40400;42400;39900;36600;38200;37700;38700;40600;43800;49400;53800;57100;59900;61300;64800;77400;;;;
EL30;Attiki;1;0;27100;27400;30100;30900;32000;31100;28500;25900;24700;25300;25800;26000;25900;26800;27400;28200;25400;27900;;;;
EL41;Voreio Aigaio;1;0;15600;16200;17600;18300;19300;18200;16600;15100;14500;14700;15100;14900;14300;14000;13700;13600;12200;13500;;;;
EL42;Notio Aigaio;1;0;23100;23800;25300;25700;27100;24500;22700;20500;19600;20800;21600;21500;20500;20800;21500;22000;17500;20900;;;;
EL43;Kriti;1;0;19000;18900;20200;20100;21000;19900;18200;15900;15000;15600;16400;16500;16100;16600;17100;17400;14900;17000;;;;
EL51;Anatoliki Makedonia, Thraki;1;0;15000;15200;15500;16200;17100;16400;15700;13700;13200;13100;13200;13200;13300;13500;13800;14000;13100;14600;;;;
EL52;Kentriki Makedonia;1;0;16700;16500;17900;18500;19100;18100;16400;15000;14300;14400;14500;14900;14900;15300;15800;16000;14600;16300;;;;
EL53;Dytiki Makedonia;1;0;18700;19100;19700;19100;18400;18800;18700;18300;20400;20600;20900;20200;18700;19000;18600;17600;15500;17200;;;;
EL54;Ipeiros;1;0;15200;15200;16000;16100;16400;15600;15000;13700;13000;13500;13700;13700;13700;13800;14100;14500;13400;14900;;;;
EL61;Thessalia;1;0;16500;15900;17300;17400;17900;17000;15100;13600;13500;13800;14200;14500;14300;14700;15100;15700;14700;16000;;;;
EL62;Ionia Nisia;1;0;20500;21200;22400;22700;23800;21600;19900;17100;16600;16900;17800;17600;17400;17800;18500;19300;15500;18400;;;;
EL63;Dytiki Ellada;1;0;15900;16100;17700;17800;18000;16900;15900;14200;13800;13800;14000;14100;13900;14100;14500;14900;14000;15400;;;;
EL64;Sterea Ellada;1;0;19900;20300;20900;20900;21400;20000;18700;17200;16700;16700;16700;17000;17300;17900;18200;18600;18400;21200;;;;
EL65;Peloponnisos;1;0;16300;16500;17900;18400;18900;18100;16900;15600;15300;15600;15700;16200;16100;16700;16800;17500;16200;18000;;;;
ES11;Galicia;1;0;17400;18800;20600;22000;22600;21400;21300;21000;20700;21000;21400;22500;23200;24300;24800;25600;22900;24900;;;;
ES12;Principado de Asturias;1;0;18400;19900;21900;23300;23700;22000;22000;21700;21200;20900;21200;22200;22600;23900;24300;25000;22100;24600;;;;
ES13;Cantabria;1;0;20000;21200;22900;24100;24400;22900;22700;22300;21900;21600;22300;22900;23700;24800;25400;26200;23200;25100;;;;
ES21;País Vasco;1;0;26200;27900;30500;32200;32900;30800;30900;30600;30500;30400;31300;32500;33500;35000;35500;36500;32000;34900;;;;
ES22;Comunidad Foral de Navarra;1;0;26600;28100;30200;31400;31800;29800;29500;29300;28700;29000;29800;30900;31700;33200;33300;34400;30400;32900;;;;
ES23;La Rioja;1;0;23100;24300;26200;27400;27700;25900;26000;25700;25300;25500;26500;27500;27700;28900;29500;30200;27100;28900;;;;
ES24;Aragón;1;0;22800;24100;26200;27900;28100;26200;26200;25900;25300;25700;26300;26900;28100;29500;30100;30900;28100;30600;;;;
ES30;Comunidad de Madrid;1;0;28200;29800;32500;33900;34200;32800;32100;32300;32300;32100;33000;34500;35600;37300;37700;39000;34100;36900;;;;
ES41;Castilla y León;1;0;19600;20800;22400;23600;23800;22600;22500;22400;22200;22000;22500;23400;24200;25200;26100;26800;24200;25900;;;;
ES42;Castilla-la Mancha;1;0;17000;18100;19600;20600;20800;19500;19300;19000;18700;18600;18500;19600;20300;21400;21900;22400;20300;21900;;;;
ES43;Extremadura;1;0;14000;15200;16300;17400;17900;17100;17200;16800;16500;16600;16900;17800;18500;19800;20200;20700;18800;20200;;;;
ES51;Catalu?a;1;0;25500;26700;28800;30200;30100;28200;28100;27700;27400;27600;28600;29900;31000;32400;32700;33700;29300;31700;;;;
ES52;Comunitat Valenciana;1;0;19800;20700;22300;23100;23200;21400;21100;20800;20200;20300;21100;22000;22600;23800;24200;24900;21900;23600;;;;
ES53;Illes Balears;1;0;24400;25400;27000;27800;27900;25800;25400;25100;25000;25000;25900;27100;28200;29500;29900;30500;22700;26300;;;;
ES61;Andalucía;1;0;16500;17500;18900;19800;19800;18500;18100;17900;17500;17400;17800;18700;19100;20100;20500;21000;18500;20000;;;;
ES62;Región de Murcia;1;0;18000;19000;20500;21500;21700;20100;20000;19400;19300;19500;19800;21100;21600;22600;22600;23300;20800;22500;;;;
ES63;Ciudad de Ceuta;1;0;18600;19500;20900;21900;22000;21000;20400;19800;19200;19700;19800;20500;20900;21300;21800;22600;20900;22500;;;;
ES64;Ciudad de Melilla;1;0;18600;19300;20500;20800;20800;19700;19000;18400;17600;17800;18100;18700;19200;19500;20000;20700;19000;20400;;;;
ES70;Canarias;1;0;20000;20800;21900;22700;22500;20800;20700;20400;19900;19800;20100;20600;21200;22300;22500;22900;18100;20100;;;;
FR10;Île de France;1;0;37800;39900;40900;43300;44300;42500;45300;45900;46200;47800;48100;49200;50200;51400;53200;56700;52300;56900;;;;
FRB0;Centre - Val de Loire;1;0;21100;21900;22600;23500;23100;22300;23000;23500;23400;23900;23900;24400;24500;25100;25700;27000;25900;27900;;;;
FRC1;Bourgogne;1;0;20600;21300;22000;23300;23600;22500;22600;23400;23200;23700;24100;24300;24100;25200;26000;27000;26100;27900;;;;
FRC2;Franche-Comté;1;0;20300;21000;21300;22100;22200;21200;21500;22100;21000;21400;21700;22200;22700;23100;23300;24700;23900;25300;;;;
FRD1;Basse-Normandie;1;0;19800;20600;21300;22000;22300;21400;21900;22800;22300;22900;22900;23300;23600;23600;24300;25600;24500;26200;;;;
FRD2;Haute-Normandie;1;0;21600;22600;23100;24400;24400;23200;24300;24900;24800;25400;25400;25900;25600;26000;26400;27500;26000;28400;;;;
FRE1;Nord-Pas-de-Calais;1;0;18900;19900;20800;21800;22400;21500;22000;22700;22400;23000;23300;23800;24100;24800;25500;26700;25700;27600;;;;
FRE2;Picardie;1;0;18900;19800;20100;21200;21200;20200;20900;21400;21300;21700;21600;22300;22000;22800;23100;24300;23200;24700;;;;
FRF1;Alsace;1;0;22800;23500;24200;25400;25900;25000;25200;26000;25600;26400;26700;27000;27500;28200;29100;30400;28700;30700;;;;
FRF2;Champagne-Ardenne;1;0;21800;22500;23100;24300;24400;22900;23500;24900;24000;24600;24500;24700;24500;25600;26400;27400;26000;27900;;;;
FRF3;Lorraine;1;0;19500;20300;20800;21600;21300;20500;20700;21200;20800;21300;21600;21900;21900;22500;23000;23900;23000;24600;;;;
FRG0;Pays-de-la-Loire;1;0;21200;22200;22800;23800;24400;23300;23600;24700;24500;25100;25400;26000;26300;27000;27700;29300;28200;30100;;;;
FRH0;Bretagne;1;0;20700;21900;22600;23300;22900;21900;22300;23100;23000;23600;24000;24600;25000;25900;26300;27800;27200;29200;;;;
FRI1;Aquitaine;1;0;21200;22400;23300;24100;23800;23300;24100;24900;24700;25000;25200;25700;26200;26700;27500;28900;27400;29900;;;;
FRI2;Limousin;1;0;18800;19900;20500;21200;20900;20300;20100;20700;20500;21400;21600;22100;21900;22600;23000;24700;23900;25000;;;;
FRI3;Poitou-Charentes;1;0;19600;20400;20900;21900;21700;21000;21600;22400;22600;23100;23400;23700;23800;24400;25200;26600;25600;27500;;;;
FRJ1;Languedoc-Roussillon;1;0;18500;19400;20200;21000;21200;20600;21100;21700;21300;21500;21700;22000;22300;22700;23300;24500;23700;25600;;;;
FRJ2;Midi-Pyrénées;1;0;20800;22200;23500;23700;23900;23300;23600;24500;24900;25600;26100;26700;27200;27700;28700;29900;27700;29300;;;;
FRK1;Auvergne;1;0;19400;20300;20900;21900;21500;20700;21000;22100;21800;22600;22800;23300;23500;24700;25300;26700;25700;27100;;;;
FRK2;Rhône-Alpes;1;0;23900;25100;26200;27100;27700;26300;27200;28200;27900;28400;28600;29100;29700;30500;31600;33200;31600;33900;;;;
FRL0;Provence-Alpes-Côte d'Azur;1;0;22000;23400;24200;24900;25000;24500;25800;26200;26500;26800;27000;27500;27800;28500;29200;30700;29200;32300;;;;
FRM0;Corse;1;0;17400;18600;19500;19700;21000;21300;21500;22400;22200;22700;22700;23300;23300;23900;24700;25800;24100;26700;;;;
FRY1;Guadeloupe;1;0;15100;16400;17200;17700;18400;17400;18300;18900;19000;19500;20000;20600;21100;19700;20400;21700;20400;21100;;;;
FRY2;Martinique;1;0;14600;15700;16400;16900;17500;16900;17800;18500;18600;19100;19700;20300;20500;21100;21700;22400;22400;23500;;;;
FRY3;Guyane;1;0;11400;11800;12300;12200;12400;12500;12800;13300;13700;13800;13700;13400;13600;13500;13900;14300;14100;14300;;;;
FRY4;La Réunion;1;0;14200;15300;16000;16800;17200;16300;16500;17100;17200;17500;17800;18300;18800;19300;19600;20500;20100;21500;;;;
FRY5;Mayotte;1;0;4200;4700;5200;5500;6100;5900;6300;6400;6400;6900;7200;7800;8000;8400;8300;8700;8700;9100;;;;
HR02;Panonska Hrvatska;0;1;8700;9000;10100;10900;11700;10800;10300;10800;10800;10900;10700;11000;11400;11800;12200;13000;12600;14400;;;;
HR03;Jadranska Hrvatska;0;1;11800;12300;13500;15200;15800;14800;14500;15000;15200;15300;15500;16300;17100;18400;19200;20200;17700;21000;;;;
HR05;Grad Zagreb;0;1;20200;22000;24400;26700;28200;27100;28500;29100;29100;28800;28900;30800;32100;34300;36200;38800;36700;42400;;;;
HR06;Sjeverna Hrvatska;0;1;9400;9900;10700;11800;12500;11800;11000;11500;11700;12200;12200;12800;13500;14400;15300;16400;16100;18300;;;;
ITC1;Piemonte;1;0;26000;26600;27800;28800;29100;26700;27700;28400;27600;27600;27300;28100;29500;30700;31500;32000;29800;32600;;;;
ITC2;Valle d'Aosta/Vallée d'Aoste;1;0;32600;33400;34600;35700;37100;35000;36500;37400;37800;35800;35100;35500;36000;37600;38100;39000;36100;39200;;;;
ITC3;Liguria;1;0;25800;26500;27500;29300;30400;28500;28300;29100;28800;28300;28700;29400;30700;31600;31900;32900;30100;32800;;;;
ITC4;Lombardia;1;0;31700;32200;33200;34700;36200;33900;35200;35900;35200;34400;34600;35400;37100;38200;39200;39900;37700;41400;;;;
ITH1;Provincia Autonoma di Bolzano/Bozen;1;0;33900;34100;36000;37600;38900;38000;39000;40200;41800;41700;41500;42400;43900;45400;47100;48700;45300;49100;;;;
